id,workflow_id,step_number,agent_id,name,role,category,estimated_duration,config_json
auto-data-migra__step_1,auto-data-migra,1,orchestrator,Zynx Orchestrator,Master coordinator,core,2,{}
auto-data-migra__step_2,auto-data-migra,2,validator,Schema Validator,Zod / JSON Schema check,data,2,{}
auto-data-migra__step_3,auto-data-migra,3,reviewer,Code Reviewer,Quality & lint check,worker,3,{}
auto-data-migra__step_4,auto-data-migra,4,report-gen,Report Generator,PDF / Excel output,output,3,{}
auto-data-migra__step_5,auto-data-migra,5,logger,Logger,Audit trail,output,1,{}
nightly-governance-validation__step_1,nightly-governance-validation,1,orchestrator,Zynx Orchestrator,Master coordinator,core,2,{}
nightly-governance-validation__step_2,nightly-governance-validation,2,data-ingest,Data Ingestion,"Load manifest, repository visibility, and governance files",data,5,{}
nightly-governance-validation__step_3,nightly-governance-validation,3,validator,Schema Validator,"Validate required files, enums, and report structure",data,2,{}
nightly-governance-validation__step_4,nightly-governance-validation,4,transformer,Data Transformer,Normalize repository deltas and proposed manifest rows,data,3,{}
nightly-governance-validation__step_5,nightly-governance-validation,5,db-agent,DB Agent,Persist reviewed governance state when approved,data,3,{}
nightly-governance-validation__step_6,nightly-governance-validation,6,reviewer,Code Reviewer,Check evidence quality and non-destructive safety gates,worker,3,{}
nightly-governance-validation__step_7,nightly-governance-validation,7,report-gen,Report Generator,Create daily governance report from template,output,3,{}
nightly-governance-validation__step_8,nightly-governance-validation,8,notifier,Notifier,Notify human reviewer when approval is required,output,1,{}
nightly-governance-validation__step_9,nightly-governance-validation,9,logger,Logger,Append audit trail and decision log entries,output,1,{}
zynx-developer-mode-build__step_1,zynx-developer-mode-build,1,orchestrator,Zynx Orchestrator,Coordinate developer-mode implementation from concept to repo-backed plan,core,2,{}
zynx-developer-mode-build__step_2,zynx-developer-mode-build,2,task-planner,Task Planner,Break the Zynx concept stack into buildable implementation slices,core,3,{}
zynx-developer-mode-build__step_3,zynx-developer-mode-build,3,validator,Schema Validator,"Validate workflow JSON, route mappings, and artifact references",data,2,{}
zynx-developer-mode-build__step_4,zynx-developer-mode-build,4,code-gen,Code Generator,Identify the smallest next source change required to replace backend stubs,worker,3,{}
zynx-developer-mode-build__step_5,zynx-developer-mode-build,5,reviewer,Code Reviewer,"Review implementation risk, security boundaries, and overclaiming risk",worker,3,{}
zynx-developer-mode-build__step_6,zynx-developer-mode-build,6,test-gen,Test Generator,"Define verification commands for build, workflow dry-run, and governance checks",worker,2,{}
zynx-developer-mode-build__step_7,zynx-developer-mode-build,7,doc-writer,Doc Writer,"Write developer-facing plan, pitch deck, and launch-safe positioning",worker,3,{}
zynx-developer-mode-build__step_8,zynx-developer-mode-build,8,report-gen,Report Generator,"Generate a run report that separates Done, In Progress, and Planned capabilities",output,2,{}
zynx-developer-mode-build__step_9,zynx-developer-mode-build,9,logger,Logger,Append audit-friendly notes and preserve source-of-truth boundaries,output,1,{}
