repo_name,repo_full_name,owner,status,type,group,canonical_repo,related_repos,purpose,next_action,notes,last_checked_at,evidence_ref
zynx-mcp,local/zynx-mcp,Chanont Wankaew,ACTIVE,agent-system,zynx-core,zynx-mcp,,Master governance index and MCP workflow workspace,MAINTAIN,Provisional classification from local git evidence; repository has no commits; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/zynx-mcp;branch=main;head=NO_COMMITS;remote=NO_REMOTE
ZynxAGI-Project,zynx-chanont/ZynxAGI-Project,zynx-chanont,MAINTAINED,agent-system,zynx-core,ZynxAGI-Project,local_clone_duplicates,Main Zynx AGI platform repository,VERIFY_CANONICAL,Provisional classification from local git evidence; README status block missing; multiple local clones detected,2026-04-30T00:08:59+07:00,path=/Users/kant/zynx-monorepo/ZynxAGI-Project;branch=main;head=dd620ce951d4606ba1720989e538c2c68679bff0;remote=https://github.com/zynx-chanont/ZynxAGI-Project.git
ZynxDevGPT,zynx-chanont/ZynxDevGPT,zynx-chanont,EXPERIMENT,tooling,agent-systems,ZynxDevGPT,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/ZynxDevGPT;branch=main;head=e11a43ef961f0c7eb0fb3419a6660bf9d18b472b;remote=https://github.com/zynx-chanont/ZynxDevGPT.git
ZynxPDF-MyGPT,zynx-chanont/ZynxPDF-MyGPT,zynx-chanont,EXPERIMENT,product-app,agent-systems,ZynxPDF-MyGPT,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/ZynxPDF-MyGPT;branch=main;head=48f539f5885c12b49d9442057d166794ae305b50;remote=https://github.com/zynx-chanont/ZynxPDF-MyGPT.git
agi-zynx,zynx-chanont/agi-zynx,zynx-chanont,EXPERIMENT,agent-system,agent-systems,agi-zynx,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/agi-zynx;branch=main;head=8042bec39c7bee89b640fb7beb2f190bd3cd6b0b;remote=https://github.com/zynx-chanont/agi-zynx.git
agi-zynx-world,zynx-chanont/agi-zynx-world,zynx-chanont,EXPERIMENT,agent-system,agent-systems,agi-zynx-world,agi-zynx-world-53380,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/agi-zynx-world;branch=main;head=b06f05e7a32f0029d1a7f4936abb2607f5f55075;remote=https://github.com/zynx-chanont/agi-zynx-world.git
agi-zynx-world-53380,zynx-chanont/agi-zynx-world-53380,zynx-chanont,MERGED,agent-system,agent-systems,agi-zynx-world,agi-zynx-world,Repository in Zynx ecosystem requiring governance tracking,MERGE,Provisional classification from local git evidence; README status block missing; mapped to canonical agi-zynx-world,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/agi-zynx-world-53380;branch=main;head=b06f05e7a32f0029d1a7f4936abb2607f5f55075;remote=https://github.com/zynx-chanont/agi-zynx-world-53380.git
deeja,zynx-chanont/deeja,zynx-chanont,EXPERIMENT,agent-system,deeja-family,deeja,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/deeja;branch=import/local-v1;head=802b35e6c1ac3a5eee8f85a267880873388d6635;remote=https://github.com/zynx-chanont/deeja.git
deeja-ai,zynx-chanont/deeja-ai,zynx-chanont,EXPERIMENT,agent-system,deeja-family,deeja-ai,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/deeja-ai;branch=main;head=da3a0ab87d4c92717b905b59839f3707e29beccc;remote=https://github.com/zynx-chanont/deeja-ai.git
deeja-calm-companion,zynx-chanont/deeja-calm-companion,zynx-chanont,EXPERIMENT,agent-system,deeja-family,deeja-calm-companion,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/deeja-calm-companion;branch=main;head=77ce802edd59a8a60aabfd0bb4d4bf4284cac600;remote=https://github.com/zynx-chanont/deeja-calm-companion.git
